architecture_class	nearest_domain_class	n_proteins
broad across IDR	Other domain	10
broad across IDR	RRM / KH RNA-binding	10
broad across IDR	RNA helicase	2
broad across IDR	Ribosome / RNP structural	1
domain-distal clustered	Other domain	125
domain-distal clustered	RRM / KH RNA-binding	35
domain-distal clustered	Catalytic enzyme domain	9
domain-distal clustered	Protein-protein repeat / scaffold	7
domain-distal clustered	Chromatin reader	6
domain-distal clustered	RNA-associated zinc finger	6
domain-distal clustered	Repeat / superfamily	6
domain-distal clustered	DNA-binding	4
domain-distal clustered	RNA helicase	4
domain-distal clustered	Ribosome / RNP structural	2
domain-distal clustered	Chromatin catalytic / remodeler	1
domain-distal clustered	Sm / Lsm	1
domain-distal clustered	dsRNA-binding	1
domain-proximal clustered	Other domain	18
domain-proximal clustered	RRM / KH RNA-binding	16
domain-proximal clustered	Ribosome / RNP structural	2
domain-proximal clustered	Chromatin reader	1
domain-proximal clustered	DNA-binding	1
domain-proximal clustered	RNA helicase	1
domain-proximal clustered	RNA-associated zinc finger	1
domain-proximal clustered	Repeat / superfamily	1
